AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,910106,_. ___________,Ko Sarai,9101,_. _________,Mueang Satun,91,_. ____,Satun,6.546,99.706
4,210114,_. ________,Maptaphut,2101,_. __________,Mueang Rayong,21,_. _____,Rayong,12.646,101.171
4,210114,_. ________,Maptaphut,2101,_. __________,Mueang Rayong,21,_. _____,Rayong,12.645,101.170
4,210114,_. ________,Maptaphut,2101,_. __________,Mueang Rayong,21,_. _____,Rayong,12.649,101.174
4,210114,_. ________,Maptaphut,2101,_. __________,Mueang Rayong,21,_. _____,Rayong,12.644,101.169
4,860116,_. _________,Hat Sai Ri,8601,_. __________,Mueang Chumphon,86,_. _____,Chumphon,10.459,99.403
4,860706,_. _______,Dan Sawi,8607,_. ___,Sawi,86,_. _____,Chumphon,10.291,99.241
4,440103,_. ______,Tha Tum,4401,_. ______________,Mueang Maha Sarakham,44,_. _________,Maha Sarakham,16.162,103.484
4,840401,_. _______,Ang Thong,8404,_. ________,Ko Samui,84,_. ____________,Surat Thani,9.708,99.675
4,840401,_. _______,Ang Thong,8404,_. ________,Ko Samui,84,_. ____________,Surat Thani,9.796,99.713
4,840401,_. _______,Ang Thong,8404,_. ________,Ko Samui,84,_. ____________,Surat Thani,9.677,99.659
4,200901,_. ______,Sattahip,2009,_. ______,Sattahip,20,_. ______,Chon Buri,12.611,100.889
4,921003,_. _____,Tase,9210,_. ________,Hat Samran,92,_. ____,Trang,7.033,99.449
4,860116,_. _________,Hat Sai Ri,8601,_. __________,Mueang Chumphon,86,_. _____,Chumphon,10.477,99.369
4,860306,_. _______,Pak Khlong,8603,_. _____,Pathio,86,_. _____,Chumphon,10.862,99.486
4,860801,_. _______,Pak Tako,8608,_. ________,Thung Tako,86,_. _____,Chumphon,10.165,99.176
4,860306,_. _______,Pak Khlong,8603,_. _____,Pathio,86,_. _____,Chumphon,10.800,99.538
4,910106,_. ___________,Ko Sarai,9101,_. _________,Mueang Satun,91,_. ____,Satun,6.672,99.844
4,840401,_. _______,Ang Thong,8404,_. ________,Ko Samui,84,_. ____________,Surat Thani,9.767,99.668
4,860116,_. _________,Hat Sai Ri,8601,_. __________,Mueang Chumphon,86,_. _____,Chumphon,10.466,99.359
4,860801,_. _______,Pak Tako,8608,_. ________,Thung Tako,86,_. _____,Chumphon,10.131,99.165
4,910106,_. ___________,Ko Sarai,9101,_. _________,Mueang Satun,91,_. ____,Satun,6.705,99.799
4,921003,_. _____,Tase,9210,_. ________,Hat Samran,92,_. ____,Trang,6.984,99.473
4,860706,_. _______,Dan Sawi,8607,_. ___,Sawi,86,_. _____,Chumphon,10.197,99.221
4,860801,_. _______,Pak Tako,8608,_. ________,Thung Tako,86,_. _____,Chumphon,10.118,99.216
4,921003,_. _____,Tase,9210,_. ________,Hat Samran,92,_. ____,Trang,7.067,99.398
4,860306,_. _______,Pak Khlong,8603,_. _____,Pathio,86,_. _____,Chumphon,10.782,99.530
4,220607,_. ________,Bang Kachai,2206,_. _________,Laem Sing,22,_. ________,Chanthaburi,12.465,102.066
4,921003,_. _____,Tase,9210,_. ________,Hat Samran,92,_. ____,Trang,7.016,99.445
4,860306,_. _______,Pak Khlong,8603,_. _____,Pathio,86,_. _____,Chumphon,10.840,99.497
4,910106,_. ___________,Ko Sarai,9101,_. _________,Mueang Satun,91,_. ____,Satun,6.710,99.794
4,840401,_. _______,Ang Thong,8404,_. ________,Ko Samui,84,_. ____________,Surat Thani,9.707,99.676
4,820603,_. __________,Ko Phra Thong,8206,_. ________,Khura Buri,82,_. _____,Phang-nga,9.406,97.901
4,200905,_. ______,Samae San,2009,_. ______,Sattahip,20,_. ______,Chon Buri,12.616,100.918
4,921003,_. _____,Tase,9210,_. ________,Hat Samran,92,_. ____,Trang,7.075,99.451
4,230601,_. ________,Ko Mak,2306,_. _______,Ko Kut,23,_. ____,Trat,11.817,102.397
4,840401,_. _______,Ang Thong,8404,_. ________,Ko Samui,84,_. ____________,Surat Thani,9.551,99.694
4,910106,_. ___________,Ko Sarai,9101,_. _________,Mueang Satun,91,_. ____,Satun,6.582,99.719
4,820603,_. __________,Ko Phra Thong,8206,_. ________,Khura Buri,82,_. _____,Phang-nga,9.495,97.874
4,910106,_. ___________,Ko Sarai,9101,_. _________,Mueang Satun,91,_. ____,Satun,6.551,99.350
4,230601,_. ________,Ko Mak,2306,_. _______,Ko Kut,23,_. ____,Trat,11.805,102.376
4,230601,_. ________,Ko Mak,2306,_. _______,Ko Kut,23,_. ____,Trat,11.857,102.525
4,840401,_. _______,Ang Thong,8404,_. ________,Ko Samui,84,_. ____________,Surat Thani,9.681,99.677
4,850502,_. _____,Kamphuan,8505,_. ________,Suk Samran,85,_. _____,Ranong,9.401,98.392
4,920222,_. ______,,9202,_. ______,Kantang,92,_. ____,Trang,7.272,99.475
4,840301,_. ______,Don Sak,8403,_. ______,Don Sak,84,_. ____________,Surat Thani,9.310,99.660
